run_id,algorithm_name,input_size,time_ns,memory_kb,date_run
1,BinarySearch,100,29024,103,2026-07-02 00:00:00
2,MergeSort,500,199787,928,2026-07-03 00:00:00
3,SelectionSort,10000,1287437,37881,2026-07-04 00:00:00
4,DFS,100,9444,249,2026-07-05 00:00:00
5,QuickSort,100,39415,269,2026-07-06 00:00:00
6,DFS,10000,4338716,9513,2026-07-07 00:00:00
7,Kruskal,10000,1029778,7931,2026-07-08 00:00:00
8,Dijkstra,10000,1226218,28831,2026-07-09 00:00:00
9,MergeSort,1000,396222,3050,2026-07-10 00:00:00
10,InsertionSort,1000,204918,1693,2026-07-11 00:00:00
11,Kruskal,500,144094,1593,2026-07-12 00:00:00
12,BFS,5000,2334805,6586,2026-07-13 00:00:00
13,SelectionSort,500,171855,1305,2026-07-14 00:00:00
14,BinarySearch,500,50697,1871,2026-07-15 00:00:00
15,DFS,10000,4280685,14415,2026-07-16 00:00:00
16,SelectionSort,1000,416764,2647,2026-07-17 00:00:00
17,Dijkstra,5000,1795670,11924,2026-07-18 00:00:00
18,LinearSearch,5000,861136,12936,2026-07-19 00:00:00
19,MergeSort,1000,318193,3340,2026-07-20 00:00:00
20,Dijkstra,5000,351125,2794,2026-07-21 00:00:00
21,Dijkstra,1000,390229,1605,2026-07-22 00:00:00
22,Kruskal,1000,496824,1237,2026-07-23 00:00:00
23,BinarySearch,1000,380613,3548,2026-07-24 00:00:00
24,Dijkstra,1000,335016,3348,2026-07-25 00:00:00
25,MergeSort,10000,905469,24328,2026-07-26 00:00:00
26,Kruskal,100,27932,301,2026-07-27 00:00:00
27,LinearSearch,1000,463609,2938,2026-07-28 00:00:00
28,Prim,1000,213082,2570,2026-07-29 00:00:00
29,Kruskal,10000,4635883,14292,2026-07-30 00:00:00
30,BinarySearch,500,240871,537,2026-07-31 00:00:00
31,Kruskal,1000,155637,2057,2026-08-01 00:00:00
32,DFS,1000,52252,2579,2026-08-02 00:00:00
