resource_id,resource_type,home_location_id,capacity,availability_status
V001,Van,L055,15,AVAILABLE
T001,Tricycle,L053,6,BUSY
R001,Rider,L054,3,AVAILABLE
V002,Van,L057,15,AVAILABLE
R002,Rider,L053,3,AVAILABLE
R003,Rider,L052,3,AVAILABLE
R004,Rider,L054,3,AVAILABLE
B001,Bicycle,L055,1,BUSY
V003,Van,L056,15,AVAILABLE
R005,Rider,L057,3,BUSY
R006,Rider,L054,3,BUSY
R007,Rider,L055,3,BUSY
V004,Van,L053,15,AVAILABLE
R008,Rider,L054,3,AVAILABLE
R009,Rider,L052,3,BUSY
R010,Rider,L053,3,OFFLINE
V005,Van,L053,15,AVAILABLE
R011,Rider,L054,3,AVAILABLE
R012,Rider,L057,3,BUSY
B002,Bicycle,L053,1,AVAILABLE
R013,Rider,L054,3,OFFLINE
B003,Bicycle,L056,1,BUSY
R014,Rider,L056,3,AVAILABLE
R015,Rider,L053,3,BUSY
R016,Rider,L055,3,AVAILABLE
R017,Rider,L055,3,AVAILABLE
R018,Rider,L056,3,BUSY
V006,Van,L054,15,BUSY
T002,Tricycle,L053,6,AVAILABLE
R019,Rider,L052,3,AVAILABLE
R020,Rider,L052,3,AVAILABLE
B004,Bicycle,L052,1,BUSY
