road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,0.89,2.1,2.5
R002,L002,L003,2.72,8.09,2.59
R003,L003,L004,3.18,9.53,1.36
R004,L004,L005,7.59,22.98,2.63
R005,L005,L006,4.05,10.48,2.96
R006,L006,L007,1.64,3.98,1.01
R007,L007,L008,6.46,24.63,2.57
R008,L008,L009,1.87,5.75,1.97
R009,L009,L010,9.18,21.93,1.87
R010,L010,L011,2.95,11.21,2.64
R011,L011,L012,7.22,23.51,1.3
R012,L012,L013,6.95,16.15,2.1
R013,L013,L014,6.39,22.39,1.37
R014,L014,L015,5.46,21.63,2.02
R015,L015,L016,6.71,26.29,2.35
R016,L016,L017,7.07,19.54,2.44
R017,L017,L018,9.31,33.94,2.88
R018,L018,L019,7.81,21.59,2.75
R019,L019,L020,1.2,2.66,1.12
R020,L020,L021,9.25,35.03,2.26
R021,L021,L022,8.7,28.82,1.14
R022,L022,L023,9.37,33.93,1.43
R023,L023,L024,6.11,17.91,1.38
R024,L024,L025,4.26,13.11,2.04
R025,L025,L026,7.43,23.92,2.02
R026,L026,L027,5.56,19.68,1.62
R027,L027,L028,9.08,23.18,1.55
R028,L028,L029,4.89,18.12,1.01
R029,L029,L030,6.85,26.25,2.82
R030,L030,L031,4.93,17.16,2.86
R031,L031,L032,9.2,23.57,2.33
R032,L032,L033,5.18,14.77,1.95
R033,L033,L034,3.64,8.66,2.32
R034,L034,L035,2.23,7.64,2.79
R035,L035,L036,7.68,21.17,1.82
R036,L036,L037,8.77,21.9,2.9
R037,L037,L038,7.7,27.82,2.74
R038,L038,L039,3.46,10.4,1.91
R039,L039,L040,8.5,26.22,2.76
R040,L040,L041,4.66,15.35,2.15
R041,L041,L042,5.65,22.09,2.15
R042,L042,L043,4.27,15.37,1.92
R043,L043,L044,9.34,32.37,1.69
R044,L044,L045,2.26,5.32,2.26
R045,L045,L046,6.86,25.45,2.81
R046,L046,L047,2.51,5.87,2.84
R047,L047,L048,6.42,21.96,2.33
R048,L048,L049,1.2,3.93,1.23
R049,L049,L050,4.44,10.93,1.01
R050,L050,L051,8.82,25.08,1.34
R051,L051,L052,8.97,31.27,1.63
R052,L052,L053,4.11,13.3,1.27
R053,L053,L054,4.7,10.98,2.02
R054,L054,L055,5.72,20.0,2.45
R055,L055,L056,5.49,15.58,1.21
R056,L056,L057,4.11,14.88,1.2
R057,L057,L058,5.16,15.55,2.16
R058,L058,L059,2.71,10.58,2.34
R059,L059,L060,2.58,7.66,2.28
R060,L060,L061,8.18,20.67,2.86
R061,L061,L062,1.46,3.8,2.23
R062,L062,L063,7.83,26.97,2.8
R063,L063,L064,8.15,18.9,1.9
R064,L064,L065,9.48,37.68,1.63
R065,L065,L066,1.87,6.31,2.45
R066,L066,L067,5.47,18.59,1.9
R067,L067,L001,2.61,8.75,2.72
R068,L064,L009,2.57,11.48,1.17
R069,L049,L001,11.89,49.84,1.0
R070,L053,L035,9.86,23.79,2.88
R071,L038,L040,10.52,26.6,2.19
R072,L020,L018,11.27,48.23,1.81
R073,L044,L006,1.38,4.73,2.86
R074,L051,L054,5.23,12.89,2.62
R075,L060,L043,5.39,22.81,2.24
R076,L008,L009,9.97,31.5,1.76
R077,L019,L027,8.57,21.01,2.41
R078,L015,L014,6.46,20.87,3.44
R079,L025,L017,8.59,23.17,1.71
R080,L011,L005,10.58,29.03,2.45
R081,L054,L004,2.89,7.85,1.25
R082,L002,L058,6.89,29.76,2.9
R083,L048,L004,0.92,2.99,2.68
R084,L005,L012,11.11,38.18,2.85
R085,L034,L020,7.12,20.33,2.48
R086,L028,L020,11.36,48.28,1.48
R087,L013,L028,10.01,44.36,1.97
R088,L015,L004,6.24,21.1,1.23
R089,L002,L048,8.39,21.53,3.42
R090,L061,L006,10.17,44.36,1.72
R091,L057,L059,9.83,22.08,2.94
R092,L036,L058,5.58,22.13,3.49
R093,L007,L016,2.87,12.7,2.69
R094,L041,L067,9.07,29.64,1.15
R095,L056,L041,5.16,20.58,2.39
R096,L015,L060,0.86,3.48,3.14
R097,L021,L035,4.87,20.33,2.26
R098,L025,L058,4.0,12.19,1.21
R099,L039,L003,4.18,12.46,3.23
R100,L022,L066,11.45,41.68,1.73
R101,L051,L004,11.58,40.34,2.03
R102,L034,L049,8.89,32.47,3.29
R103,L058,L060,4.8,19.94,1.57
R104,L066,L014,7.94,20.44,1.55
R105,L065,L013,8.13,23.23,1.96
R106,L017,L050,6.62,15.65,1.59
R107,L053,L023,1.55,3.67,2.48
R108,L050,L028,0.73,2.38,2.61
R109,L041,L054,4.33,13.77,1.01
R110,L063,L040,4.54,13.01,3.01
