table_size,num_keys,load_factor,collision_count,put_time_ns
31,100,3.096774193548387,70,688900
31,1000,30.93548387096774,969,2280700
31,5000,153.1290322580645,4969,7131800
31,10000,306.06451612903226,9969,13630900
31,20000,615.4193548387096,19969,33334100
101,100,0.9405940594059405,39,14400
101,1000,9.366336633663366,899,237200
101,5000,46.851485148514854,4899,1578900
101,10000,94.00990099009901,9899,3515700
101,20000,188.1881188118812,19899,9820300
1009,100,0.09117938553022795,8,5400
1009,1000,0.9355797819623389,356,46700
1009,5000,4.7482656095143705,3996,308900
1009,10000,9.462834489593657,8991,703300
1009,20000,18.805748265609516,18991,2469300
5003,100,0.018388966620027983,8,5200
5003,1000,0.18928642814311414,103,51700
5003,5000,0.9538277033779732,1827,370800
5003,10000,1.8986608035178894,5676,760200
5003,20000,3.7953228063162103,15086,2043400
