algorithm_name,input_size,run_number,time_ns,average_time_ns
SelectionSort,100,1,7218900,3076233
SelectionSort,100,2,996100,3076233
SelectionSort,100,3,1013700,3076233
InsertionSort,100,1,592600,606566
InsertionSort,100,2,671000,606566
InsertionSort,100,3,556100,606566
SelectionSort,500,1,7855900,4236466
SelectionSort,500,2,2488500,4236466
SelectionSort,500,3,2365000,4236466
InsertionSort,500,1,10180900,4427166
InsertionSort,500,2,1333700,4427166
InsertionSort,500,3,1766900,4427166
SelectionSort,1000,1,2059100,4927666
SelectionSort,1000,2,6997600,4927666
SelectionSort,1000,3,5726300,4927666
InsertionSort,1000,1,2143100,2436833
InsertionSort,1000,2,2576000,2436833
InsertionSort,1000,3,2591400,2436833
SelectionSort,2000,1,20760000,8902266
SelectionSort,2000,2,2831800,8902266
SelectionSort,2000,3,3115000,8902266
InsertionSort,2000,1,3912200,4127633
InsertionSort,2000,2,4085200,4127633
InsertionSort,2000,3,4385500,4127633
MergeSort,100,1,117200,125133
MergeSort,100,2,134400,125133
MergeSort,100,3,123800,125133
QuickSort,100,1,103800,157266
QuickSort,100,2,175200,157266
QuickSort,100,3,192800,157266
MergeSort,500,1,766700,359866
MergeSort,500,2,183400,359866
MergeSort,500,3,129500,359866
QuickSort,500,1,408100,260333
QuickSort,500,2,249600,260333
QuickSort,500,3,123300,260333
MergeSort,1000,1,266700,264866
MergeSort,1000,2,264600,264866
MergeSort,1000,3,263300,264866
QuickSort,1000,1,294000,294266
QuickSort,1000,2,309800,294266
QuickSort,1000,3,279000,294266
MergeSort,5000,1,1734100,1720433
MergeSort,5000,2,1707400,1720433
MergeSort,5000,3,1719800,1720433
QuickSort,5000,1,1505100,1308100
QuickSort,5000,2,1225800,1308100
QuickSort,5000,3,1193400,1308100
MergeSort,10000,1,4054900,3861700
MergeSort,10000,2,3850000,3861700
MergeSort,10000,3,3680200,3861700
QuickSort,10000,1,2016600,1928300
QuickSort,10000,2,2102000,1928300
QuickSort,10000,3,1666300,1928300
LinearSearch,100,1,4003700,1338766
LinearSearch,100,2,8500,1338766
LinearSearch,100,3,4100,1338766
BinarySearch,100,1,4000,1900
BinarySearch,100,2,1100,1900
BinarySearch,100,3,600,1900
